"NBa7we src","d4r55","RfnDt","hCCjke src 3","hCCjke src 5","rsqaWe","wiI7pd","dSlJg src","Hzvxle","pkWtMe","dSlJg src 2","znYl0","kyuRq","w8nwRe","fontBodySmall","fontBodySmall 2"
"https://lh3.googleusercontent.com/a-/AD_cMMQZtlebMRDZnJBDcPUMU73Fn8U1A2nQeFfQBLGS1w=w36-h36-p-c0x00000000-rp-mo-br100","chris threat","2 ulasan","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","setahun lalu","Recommend banget nih buat yg suka barang barang pinteg , pelayanan nya pun ramah","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","1","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","","","",""
"https://lh3.googleusercontent.com/a/AAcHTtd-xdHP5yUjqxFI5_ixaNuleL2fLfRqoxbblmMd=w36-h36-p-c0x00000000-rp-mo-br100","Sukma Yadi","3 ulasan","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","setahun lalu","Pelayanannya ramah dan baik banget, terimakasih konkubin.","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","2","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","","","",""
"https://lh3.googleusercontent.com/a-/AD_cMMTeBJgnQH1i-ekCIHy005Mc3KTJdTttKliYEydz=w36-h36-p-c0x00000000-rp-mo-br100","Muhammad Riza","1 ulasan","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","setahun lalu","Anak Jakarta harus mampir kesini, apa lagi anak Selatan. Joss kan bur","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","","","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","","","",""
"https://lh3.googleusercontent.com/a-/AD_cMMSJ0iJUy__v07XhIdbJAU38JnxqZm3fBgdHz5lY=w36-h36-p-c0x00000000-rp-mo-br100","Dhany Rudiana","5 ulasan","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","setahun lalu","Nice place to hangout and thrifting with great collection of rare stuff. Looking for cutting edge band tshirt and merch? This is the place you looking for..","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","3","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lihat terjemahan","","",""
"https://lh3.googleusercontent.com/a-/AD_cMMTEdf63XpOfbVqYITy8NfJdd3S8EhcUC9S3tSQpUw=w36-h36-p-c0x00000000-rp-mo-br100","Ican Maw","77 ulasan","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","setahun lalu","Ini bagus untuk berbelan …","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","1","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lihat versi asli (Melayu)","Lainnya","Diterjemahkan oleh Google","・"
"https://lh3.googleusercontent.com/a-/AD_cMMQT_syJpSb2x_kPGqiATyP2DfZpmT-rQAVZNQua=w36-h36-p-c0x00000000-rp-mo-br100","Jibu Ki","1 ulasan","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","setahun lalu","Good secondhand selection","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","4","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lihat terjemahan","Lainnya","",""
"https://lh3.googleusercontent.com/a-/AD_cMMTbzZM0evpId8BXwb55Smmrsqksfs11J_ybVzyY=w36-h36-p-c0x00000000-rp-mo-br100","yanry Pippen","4 ulasan","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 tahun lalu","Tons of cool stuff, love it","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","2","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lihat terjemahan","Lainnya","",""
"https://lh3.googleusercontent.com/a-/AD_cMMQ2DMXFfXM7YUikVDsF6HVREw2GvQCxkjnhl4kSVg=w36-h36-p-c0x00000000-rp-mo-ba3-br100","Garry Indrajanu","· 7 ulasan","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","setahun lalu","Good Stuff :)","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","2","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lihat terjemahan","Lainnya","",""
"https://lh3.googleusercontent.com/a-/AD_cMMR1LbxXK2otctoRLaF5qL7UeQNAqHXxVEej-UnS=w36-h36-p-c0x00000000-rp-mo-br100","ilham naufal","1 ulasan","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","setahun lalu","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/AD_cMMSf-gRDe_LvP3YnVZJ2plL-4g1lqO2aOcmlFosv9w=w36-h36-p-c0x00000000-rp-mo-br100","Akmal Deniar","4 ulasan","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","setahun lalu","neeeee 👍","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","2","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lihat versi asli (Jawa)","","Diterjemahkan oleh Google","・"
